,房间号,座位号,热舒适（1为舒适，-1为不舒适）,热偏好（1为喜欢偏冷，2为喜欢中性环境，3为喜欢偏热环境）,年龄,身高,体重,人员编码（每人唯一）,gender（1为男，-1为女）,记录时间,室内温度,室内相对湿度,bmi（身体质量指数）
0,202,2,1,2,25,186,90,4119105049,1,2019/7/16 9:32,25.3,50.51,26.01456816
1,217,2,1,3,25,186,90,4119105049,1,2019/7/15 15:08,25.8,46.67,26.01456816
2,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 10:32,24.5,50.84,26.01456816
3,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 10:02,24.9,50.67,26.01456816
4,217,2,-1,3,25,186,90,4119105049,1,2019/7/15 17:34,25.5,47.23,26.01456816
5,217,2,-1,3,25,186,90,4119105049,1,2019/7/15 17:04,25.6,47.54,26.01456816
6,217,2,1,2,25,186,90,4119105049,1,2019/7/15 16:32,25.5,46.81,26.01456816
7,217,2,1,2,25,186,90,4119105049,1,2019/7/15 16:02,25.8,47.05,26.01456816
8,217,2,1,2,25,186,90,4119105049,1,2019/7/15 11:57,26.2,47.1,26.01456816
9,202,2,1,2,25,186,90,4119105049,1,2019/7/16 11:39,25.5,53.62,26.01456816
10,217,2,1,2,25,186,90,4119105049,1,2019/7/15 11:27,26.4,46.83,26.01456816
11,217,2,1,2,25,186,90,4119105049,1,2019/7/15 10:57,26.4,46.61,26.01456816
12,217,2,1,2,25,186,90,4119105049,1,2019/7/15 10:25,26.8,47.23,26.01456816
13,217,2,-1,1,25,186,90,4119105049,1,2019/7/15 9:30,28.5,53.66,26.01456816
14,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 11:09,24.4,51.99,26.01456816
15,202,2,1,2,25,186,90,4119105049,1,2019/7/16 12:09,26,55.47,26.01456816
16,202,4,-1,3,25,186,90,4119105049,1,2019/7/17 17:09,24.8,54.23,26.01456816
17,202,4,1,2,25,186,90,4119105049,1,2019/7/17 10:36,25.8,57.86,26.01456816
18,202,4,-1,1,25,186,90,4119105049,1,2019/7/17 16:08,26.1,60.19,26.01456816
19,202,4,1,2,25,186,90,4119105049,1,2019/7/17 15:38,26,60.26,26.01456816
20,202,4,1,2,25,186,90,4119105049,1,2019/7/17 15:07,25.6,58.05,26.01456816
21,202,4,1,2,25,186,90,4119105049,1,2019/7/17 12:06,26.4,62.3,26.01456816
22,202,4,1,2,25,186,90,4119105049,1,2019/7/17 11:36,26.2,61.48,26.01456816
23,202,4,1,2,25,186,90,4119105049,1,2019/7/17 11:06,26.1,60,26.01456816
24,202,4,-1,3,25,186,90,4119105049,1,2019/7/17 10:06,25,55.3,26.01456816
25,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 15:00,23.9,52.14,26.01456816
26,202,4,1,2,25,186,90,4119105049,1,2019/7/17 9:36,25.2,56.04,26.01456816
27,202,2,1,2,25,186,90,4119105049,1,2019/7/16 17:32,25.2,55.4,26.01456816
28,202,2,1,2,25,186,90,4119105049,1,2019/7/16 17:02,24.8,53.4,26.01456816
29,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 16:31,23.7,52.25,26.01456816
30,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 16:01,23.7,51.84,26.01456816
31,202,2,-1,3,25,186,90,4119105049,1,2019/7/16 15:30,23.8,52.39,26.01456816
32,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 12:57,24.8,49.72,26.01456816
33,217,2,1,2,25,186,90,4119105049,1,2019/7/4 16:04,25.3,48.97,26.01456816
34,217,2,1,2,25,186,90,4119105049,1,2019/7/4 15:53,25.2,49.59,26.01456816
35,217,2,1,2,25,186,90,4119105049,1,2019/7/4 15:34,24.9,49.35,26.01456816
36,217,2,1,2,25,186,90,4119105049,1,2019/7/4 15:23,24.8,49.37,26.01456816
37,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 15:03,24.8,48.51,26.01456816
38,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 14:50,24.8,48.67,26.01456816
39,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 12:13,25.3,50.28,26.01456816
40,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 12:11,25.3,50.33,26.01456816
41,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 11:42,25.3,50.81,26.01456816
42,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 11:41,25.3,50.79,26.01456816
43,217,2,-1,3,25,186,90,4119105049,1,2019/7/4 11:11,25.3,50.93,26.01456816
44,217,2,1,2,25,186,90,4119105049,1,2019/7/4 10:33,25.5,51.8,26.01456816
45,217,2,1,2,25,186,90,4119105049,1,2019/7/4 10:01,25.7,52.44,26.01456816
46,217,2,1,2,25,186,90,4119105049,1,2019/7/4 16:34,25.5,48.21,26.01456816
47,217,2,1,2,25,186,90,4119105049,1,2019/7/4 17:07,25.8,46.93,26.01456816
48,217,2,1,2,25,186,90,4119105049,1,2019/7/4 17:37,26,46.71,26.01456816
49,217,2,1,2,25,186,90,4119105049,1,2019/7/8 9:32,26.2,46.26,26.01456816
50,217,2,1,2,25,186,90,4119105049,1,2019/7/8 10:10,25.9,45.71,26.01456816
51,217,2,1,2,25,186,90,4119105049,1,2019/7/8 10:40,25.6,45.76,26.01456816
52,217,2,-1,3,25,186,90,4119105049,1,2019/7/8 11:11,25.4,46.13,26.01456816
53,217,2,-1,3,25,186,90,4119105049,1,2019/7/8 11:41,25.2,46.4,26.01456816
54,217,2,-1,3,25,186,90,4119105049,1,2019/7/8 12:11,25.1,46.82,26.01456816
55,217,2,1,2,25,186,90,4119105049,1,2019/7/8 15:00,25.6,50.71,26.01456816
56,217,2,1,2,25,186,90,4119105049,1,2019/7/8 15:30,26.2,53.5,26.01456816
57,217,2,1,2,25,186,90,4119105049,1,2019/7/8 16:00,25.5,52.04,26.01456816
58,217,2,1,2,25,186,90,4119105049,1,2019/7/8 16:31,25.1,50.96,26.01456816
59,217,2,1,2,25,186,90,4119105049,1,2019/7/8 17:01,25.1,53.72,26.01456816
60,202,4,-1,3,25,186,90,4119105049,1,2019/7/17 16:38,25.1,54.39,26.01456816
61,217,2,1,3,25,186,90,4119105049,1,2019/7/8 17:31,25.1,54.37,26.01456816
62,202,4,-1,3,25,186,90,4119105049,1,2019/7/17 17:39,24.5,53.1,26.01456816
63,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 9:31,23.4,58.72,26.01456816
64,217,2,1,2,25,186,90,4119105049,1,2019/7/24 10:32,24.9,60.94,26.01456816
65,217,2,1,2,25,186,90,4119105049,1,2019/7/24 11:02,25.5,62,26.01456816
66,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 11:32,24.6,56.78,26.01456816
67,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 12:02,24.3,55.84,26.01456816
68,217,2,1,2,25,186,90,4119105049,1,2019/7/24 15:00,27.2,61.9,26.01456816
69,217,2,1,2,25,186,90,4119105049,1,2019/7/24 15:30,25.9,54.53,26.01456816
70,217,2,1,2,25,186,90,4119105049,1,2019/7/24 16:00,25.5,54.16,26.01456816
71,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 16:30,25.3,53.99,26.01456816
72,217,2,1,2,25,186,90,4119105049,1,2019/7/24 17:00,25.2,53.96,26.01456816
73,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 17:30,25.3,54.66,26.01456816
74,202,1,1,2,25,186,90,4119105049,1,2019/7/26 9:32,25.3,57.56,26.01456816
75,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 10:32,24.4,56.94,26.01456816
76,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 10:58,24.4,57.95,26.01456816
77,202,1,1,2,25,186,90,4119105049,1,2019/7/26 11:28,25.3,58.96,26.01456816
78,202,1,1,2,25,186,90,4119105049,1,2019/7/26 12:00,25.7,59.84,26.01456816
79,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 15:30,24.4,56.75,26.01456816
80,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 16:00,24.4,56.97,26.01456816
81,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 16:30,24.4,57.65,26.01456816
82,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 17:01,24.4,57.83,26.01456816
83,202,1,1,2,25,186,90,4119105049,1,2019/7/26 17:32,25.3,60.1,26.01456816
84,224,3,1,2,25,186,90,4119105049,1,2019/7/19 9:30,24.9,61.27,26.01456816
85,217,2,-1,3,25,186,90,4119105049,1,2019/7/24 10:01,23.5,57.14,26.01456816
86,202,1,-1,3,25,186,90,4119105049,1,2019/7/26 15:00,24.5,57.03,26.01456816
87,224,2,-1,3,25,186,90,4119105049,1,2019/7/22 17:30,24.8,54.39,26.01456816
88,224,3,-1,1,25,186,90,4119105049,1,2019/7/19 17:30,26.8,61.35,26.01456816
89,224,3,-1,3,25,186,90,4119105049,1,2019/7/19 10:00,24.3,55.74,26.01456816
90,224,2,-1,1,25,186,90,4119105049,1,2019/7/22 17:00,26.7,60.01,26.01456816
91,224,3,-1,3,25,186,90,4119105049,1,2019/7/19 10:31,24,56.66,26.01456816
92,224,3,1,2,25,186,90,4119105049,1,2019/7/19 11:01,25.6,59.38,26.01456816
93,224,3,1,2,25,186,90,4119105049,1,2019/7/19 11:39,26.2,60.58,26.01456816
94,224,3,-1,3,25,186,90,4119105049,1,2019/7/19 14:59,23.9,56.41,26.01456816
95,224,3,-1,3,25,186,90,4119105049,1,2019/7/19 15:29,23.8,57.01,26.01456816
96,224,3,1,2,25,186,90,4119105049,1,2019/7/19 16:00,25.4,58.44,26.01456816
97,224,3,1,2,25,186,90,4119105049,1,2019/7/19 16:30,26.1,59.82,26.01456816
98,224,3,1,2,25,186,90,4119105049,1,2019/7/19 17:00,26.5,60.78,26.01456816
99,224,3,1,2,25,186,90,4119105049,1,2019/7/19 12:10,26.5,61.76,26.01456816
100,224,2,-1,3,25,186,90,4119105049,1,2019/7/22 9:37,24.3,59.6,26.01456816
101,224,2,1,2,25,186,90,4119105049,1,2019/7/22 16:00,26.1,61.03,26.01456816
102,224,2,1,2,25,186,90,4119105049,1,2019/7/22 16:30,26.5,61.82,26.01456816
103,224,2,-1,3,25,186,90,4119105049,1,2019/7/22 10:07,24,58.04,26.01456816
104,224,2,1,2,25,186,90,4119105049,1,2019/7/22 15:30,25.6,59.34,26.01456816
105,224,2,-1,3,25,186,90,4119105049,1,2019/7/22 14:59,24.1,55.93,26.01456816
106,224,2,1,2,25,186,90,4119105049,1,2019/7/22 12:07,26.4,64.44,26.01456816
107,224,2,1,2,25,186,90,4119105049,1,2019/7/22 11:37,26,63.9,26.01456816
108,224,2,1,2,25,186,90,4119105049,1,2019/7/22 11:07,25.4,62.54,26.01456816
109,224,2,-1,3,25,186,90,4119105049,1,2019/7/22 10:37,23.9,58.73,26.01456816
110,217,1,1,2,24,172,78,4119105033,1,2019/7/15 15:35,25.7,46.7,26.36560303
111,217,1,1,2,24,172,78,4119105033,1,2019/7/15 15:05,25.8,46.45,26.36560303
112,217,1,1,2,24,172,78,4119105033,1,2019/7/15 16:05,25.8,46.97,26.36560303
113,217,1,1,2,24,172,78,4119105033,1,2019/7/15 16:41,25.5,47.13,26.36560303
114,217,1,1,2,24,172,78,4119105033,1,2019/7/15 17:11,25.6,47.26,26.36560303
115,217,1,1,1,24,172,78,4119105033,1,2019/7/15 12:10,26.2,46.97,26.36560303
116,217,1,1,2,24,172,78,4119105033,1,2019/7/15 17:41,25.5,47.41,26.36560303
117,202,2,1,2,24,172,78,4119105033,1,2019/7/18 11:41,24.3,55.72,26.36560303
118,202,2,-1,1,24,172,78,4119105033,1,2019/7/18 10:07,25.2,60.94,26.36560303
119,202,2,1,2,24,172,78,4119105033,1,2019/7/18 10:41,25,60.49,26.36560303
120,202,2,1,2,24,172,78,4119105033,1,2019/7/18 11:11,24.7,57.17,26.36560303
121,202,2,1,2,24,172,78,4119105033,1,2019/7/18 12:11,24.3,55.3,26.36560303
122,202,2,1,1,24,172,78,4119105033,1,2019/7/18 15:52,24.5,54.96,26.36560303
123,202,2,1,2,24,172,78,4119105033,1,2019/7/18 16:23,24.2,54.86,26.36560303
124,217,1,1,1,24,172,78,4119105033,1,2019/7/15 11:10,26.4,46.63,26.36560303
125,202,2,1,1,24,172,78,4119105033,1,2019/7/18 16:57,24.9,56.4,26.36560303
126,202,2,1,1,24,172,78,4119105033,1,2019/7/18 17:34,25.4,58.72,26.36560303
127,217,1,1,1,24,172,78,4119105033,1,2019/7/15 11:40,26.2,46.67,26.36560303
128,217,1,1,1,24,172,78,4119105033,1,2019/7/15 10:39,26.6,47.21,26.36560303
129,217,1,1,1,24,172,78,4119105033,1,2019/7/15 10:04,27.1,47.83,26.36560303
130,202,2,1,2,24,172,78,4119105033,1,2019/7/22 10:35,24.7,62.94,26.36560303
131,217,1,-1,1,24,172,78,4119105033,1,2019/7/15 9:34,28.3,52.29,26.36560303
132,202,2,1,2,24,172,78,4119105033,1,2019/7/22 9:51,25.1,68.27,26.36560303
133,202,3,1,2,24,172,78,4119105033,1,2019/7/23 15:38,24.2,57.25,26.36560303
134,202,2,-1,3,24,172,78,4119105033,1,2019/7/22 11:19,24.4,61.43,26.36560303
135,202,3,1,1,24,172,78,4119105033,1,2019/7/23 15:08,24.4,56.88,26.36560303
136,202,2,1,1,24,172,78,4119105033,1,2019/7/22 11:49,24.7,68.03,26.36560303
137,202,3,1,2,24,172,78,4119105033,1,2019/7/23 17:38,23.9,58.37,26.36560303
138,202,3,1,1,24,172,78,4119105033,1,2019/7/23 17:00,24,57.61,26.36560303
139,202,3,1,1,24,172,78,4119105033,1,2019/7/23 16:44,24,57.9,26.36560303
140,202,3,1,2,24,172,78,4119105033,1,2019/7/23 16:10,24,57.45,26.36560303
141,202,3,1,2,24,172,78,4119105033,1,2019/7/23 15:42,24.2,57.06,26.36560303
142,202,3,1,1,24,172,78,4119105033,1,2019/7/23 15:12,24.4,57.18,26.36560303
143,202,3,1,2,24,172,78,4119105033,1,2019/7/23 16:12,24,57.55,26.36560303
144,202,3,-1,1,24,172,78,4119105033,1,2019/7/23 14:41,25,58.97,26.36560303
145,202,3,-1,3,24,172,78,4119105033,1,2019/7/23 11:37,23.7,56.05,26.36560303
146,202,3,1,2,24,172,78,4119105033,1,2019/7/23 11:03,23.9,57.1,26.36560303
147,202,2,-1,1,24,172,78,4119105033,1,2019/7/22 17:35,25.5,63.16,26.36560303
148,202,2,1,2,24,172,78,4119105033,1,2019/7/22 17:14,25.3,62.53,26.36560303
149,202,3,1,3,24,172,78,4119105033,1,2019/7/23 12:03,23.7,56.7,26.36560303
150,202,2,-1,2,24,172,78,4119105033,1,2019/7/22 15:23,25.6,60.6,26.36560303
151,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 11:31,23.7,56.01,18.64534404
152,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 15:30,24.3,57.11,18.64534404
153,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 15:00,24.5,56.34,18.64534404
154,202,4,1,3,26,167,52,4118014038,-1,2019/7/23 12:01,23.6,55.95,18.64534404
155,202,4,-1,3,26,167,52,4118014038,-1,2019/7/23 10:00,24.2,56.91,18.64534404
156,202,4,1,3,26,167,52,4118014038,-1,2019/7/23 11:01,23.9,57,18.64534404
157,202,4,1,3,26,167,52,4118014038,-1,2019/7/23 10:31,24,57.15,18.64534404
158,202,4,-1,3,26,167,52,4118014038,-1,2019/7/23 9:30,24.6,57.96,18.64534404
159,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 16:31,24,57.57,18.64534404
160,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 16:01,24,57.33,18.64534404
161,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 11:59,25,55.04,18.64534404
162,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 17:02,24,57.63,18.64534404
163,202,4,1,2,26,167,52,4118014038,-1,2019/7/23 17:32,23.9,58.27,18.64534404
164,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 9:29,24.4,58.15,18.64534404
165,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 9:59,24.8,56.3,18.64534404
166,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 10:29,24.9,55.21,18.64534404
167,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 10:59,25,54.98,18.64534404
168,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 11:29,25,55.11,18.64534404
169,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 17:00,25.4,59.56,18.64534404
170,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 14:59,23.2,57.32,18.64534404
171,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 15:29,23.2,56.88,18.64534404
172,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 17:30,25.8,60.63,18.64534404
173,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 10:31,25.1,66.53,18.64534404
174,224,1,1,3,26,167,52,4118014038,-1,2019/7/18 16:30,24.8,56.17,18.64534404
175,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 16:23,25.5,55.62,18.64534404
176,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 9:35,25.2,55.93,18.64534404
177,202,3,1,3,26,167,52,4118014038,-1,2019/7/17 10:05,25,55.23,18.64534404
178,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 10:35,25.8,57.68,18.64534404
179,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 11:05,26.1,59.91,18.64534404
180,202,3,1,1,26,167,52,4118014038,-1,2019/7/17 11:36,26.2,61.48,18.64534404
181,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 12:06,26.4,62.3,18.64534404
182,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 14:52,25.3,56.5,18.64534404
183,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 15:23,25.8,59.15,18.64534404
184,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 15:53,26.1,61.19,18.64534404
185,202,3,1,3,26,167,52,4118014038,-1,2019/7/17 16:53,24.9,54.7,18.64534404
186,224,1,1,3,26,167,52,4118014038,-1,2019/7/18 16:00,24.6,57.47,18.64534404
187,202,3,1,2,26,167,52,4118014038,-1,2019/7/17 17:24,24.6,53.2,18.64534404
188,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 9:30,25.4,59.47,18.64534404
189,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 10:01,24.9,58.77,18.64534404
190,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 11:01,26.1,64.8,18.64534404
191,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 11:31,26.6,62.27,18.64534404
192,224,1,1,2,26,167,52,4118014038,-1,2019/7/18 12:01,26.8,61,18.64534404
193,224,1,1,3,26,167,52,4118014038,-1,2019/7/18 15:00,24.3,59.22,18.64534404
194,224,1,1,3,26,167,52,4118014038,-1,2019/7/18 15:30,24.3,60.74,18.64534404
195,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 16:29,22.9,57.08,18.64534404
196,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 15:59,23,56.65,18.64534404
197,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 17:34,23.7,57.41,18.64534404
198,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 17:00,22.9,57.14,18.64534404
199,202,5,1,3,26,167,52,4118014038,-1,2019/7/30 10:00,24.9,56.26,18.64534404
200,224,4,1,1,26,167,52,4118014038,-1,2019/7/29 11:46,,,18.64534404
201,224,4,1,3,26,167,52,4118014038,-1,2019/7/29 12:06,,,18.64534404
202,224,4,1,3,26,167,52,4118014038,-1,2019/7/29 15:02,,,18.64534404
203,224,4,1,3,26,167,52,4118014038,-1,2019/7/29 15:31,,,18.64534404
204,224,4,1,1,26,167,52,4118014038,-1,2019/7/29 16:06,,,18.64534404
205,224,4,1,1,26,167,52,4118014038,-1,2019/7/29 16:31,,,18.64534404
206,224,4,1,1,26,167,52,4118014038,-1,2019/7/29 17:04,,,18.64534404
207,224,4,1,1,26,167,52,4118014038,-1,2019/7/29 17:31,,,18.64534404
208,202,5,1,3,26,167,52,4118014038,-1,2019/7/30 9:30,25.2,57.46,18.64534404
209,202,5,1,3,26,167,52,4118014038,-1,2019/7/30 10:30,24.6,54.98,18.64534404
210,217,1,-1,1,26,167,52,4118014038,-1,2019/7/26 17:02,28.4,62.06,18.64534404
211,202,5,1,3,26,167,52,4118014038,-1,2019/7/30 11:00,24.4,55.57,18.64534404
212,202,5,1,3,26,167,52,4118014038,-1,2019/7/30 11:30,24.3,56.07,18.64534404
213,202,5,1,2,26,167,52,4118014038,-1,2019/7/30 12:00,25.2,57.09,18.64534404
214,202,5,1,1,26,167,52,4118014038,-1,2019/7/30 15:30,25.2,59.38,18.64534404
215,202,5,1,1,26,167,52,4118014038,-1,2019/7/30 16:00,25.6,61.12,18.64534404
216,202,5,1,1,26,167,52,4118014038,-1,2019/7/30 16:31,25.9,62.26,18.64534404
217,202,5,1,1,26,167,52,4118014038,-1,2019/7/30 17:00,26.1,63.51,18.64534404
218,202,5,1,1,26,167,52,4118014038,-1,2019/7/30 17:31,25.1,55.74,18.64534404
219,224,3,1,2,26,167,52,4118014038,-1,2019/7/24 17:30,22.8,57.16,18.64534404
220,217,1,-1,1,26,167,52,4118014038,-1,2019/7/26 17:32,28.7,63.11,18.64534404
221,202,5,1,2,26,167,52,4118014038,-1,2019/7/30 15:00,24.3,57.68,18.64534404
222,217,1,-1,1,26,167,52,4118014038,-1,2019/7/26 16:32,27.8,62.19,18.64534404
223,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 16:32,23.8,57.84,18.64534404
224,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 9:30,24.8,57.42,18.64534404
225,217,1,-1,1,26,167,52,4118014038,-1,2019/7/26 16:01,26.9,60.89,18.64534404
226,202,4,1,3,26,167,52,4118014038,-1,2019/7/25 10:00,24.4,56.02,18.64534404
227,202,4,-1,3,26,167,52,4118014038,-1,2019/7/25 10:30,24.2,55.5,18.64534404
228,202,4,-1,3,26,167,52,4118014038,-1,2019/7/25 11:01,24,54.98,18.64534404
229,202,4,-1,3,26,167,52,4118014038,-1,2019/7/25 12:01,23.9,56.37,18.64534404
230,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 14:59,24,59.32,18.64534404
231,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 15:30,23.8,57.88,18.64534404
232,202,4,1,2,26,167,52,4118014038,-1,2019/7/25 16:01,23.8,57.74,18.64534404
233,202,4,-1,3,26,167,52,4118014038,-1,2019/7/25 11:31,24,55.2,18.64534404
234,202,4,-1,3,26,167,52,4118014038,-1,2019/7/25 17:04,23.7,56.74,18.64534404
235,217,1,1,2,26,167,52,4118014038,-1,2019/7/26 15:00,25,56.65,18.64534404
236,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 9:31,23.1,57.12,18.64534404
237,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 10:01,23.3,56.05,18.64534404
238,217,1,1,2,26,167,52,4118014038,-1,2019/7/26 15:30,25.5,55.84,18.64534404
239,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 10:31,23.5,56.92,18.64534404
240,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 11:01,23.6,57.34,18.64534404
241,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 11:31,23.9,56.75,18.64534404
242,217,1,-1,3,26,167,52,4118014038,-1,2019/7/26 12:01,24,56.98,18.64534404
243,202,1,1,2,24,179,60,4118005125,1,2019/7/15 15:59,25.8,56.69,18.7260073
244,202,1,1,2,24,179,60,4118005125,1,2019/7/15 16:30,26,56.5,18.7260073
245,202,1,1,2,24,179,60,4118005125,1,2019/7/15 17:01,26.1,55.99,18.7260073
246,202,1,1,2,24,179,60,4118005125,1,2019/7/15 17:31,26.2,54.59,18.7260073
247,224,3,1,2,24,179,60,4118005125,1,2019/7/17 9:33,25.7,61.39,18.7260073
248,224,3,1,3,24,179,60,4118005125,1,2019/7/17 10:03,25.4,59.69,18.7260073
249,224,3,1,2,24,179,60,4118005125,1,2019/7/17 12:04,26.6,64.25,18.7260073
250,224,3,1,2,24,179,60,4118005125,1,2019/7/17 10:33,24.6,56.24,18.7260073
251,224,3,1,2,24,179,60,4118005125,1,2019/7/17 11:04,24.5,60.74,18.7260073
252,224,3,1,2,24,179,60,4118005125,1,2019/7/17 11:34,25.9,65.59,18.7260073
253,224,3,1,2,24,179,60,4118005125,1,2019/7/17 16:30,24.3,55.13,18.7260073
254,224,3,-1,3,24,179,60,4118005125,1,2019/7/17 14:59,25,59.21,18.7260073
255,224,3,1,2,24,179,60,4118005125,1,2019/7/17 15:29,24.6,55.07,18.7260073
256,202,1,-1,3,24,179,60,4118005125,1,2019/7/15 12:08,24.8,54.76,18.7260073
257,224,3,1,3,24,179,60,4118005125,1,2019/7/17 15:59,24.4,55.23,18.7260073
258,202,1,1,3,24,179,60,4118005125,1,2019/7/15 14:59,25.1,58.47,18.7260073
259,217,4,1,3,24,179,60,4118005125,1,2019/7/11 15:41,25.6,55.24,18.7260073
260,202,1,-1,3,24,179,60,4118005125,1,2019/7/15 11:38,24.9,54.34,18.7260073
261,202,1,1,3,24,179,60,4118005125,1,2019/7/15 11:08,25,53.56,18.7260073
262,217,4,1,3,24,179,60,4118005125,1,2019/7/11 9:32,25.5,53.88,18.7260073
263,224,3,1,2,24,179,60,4118005125,1,2019/7/17 17:30,26.1,60.81,18.7260073
264,217,4,-1,3,24,179,60,4118005125,1,2019/7/11 10:02,25.2,51.41,18.7260073
265,217,4,1,2,24,179,60,4118005125,1,2019/7/11 10:33,26.4,54.24,18.7260073
266,217,4,1,2,24,179,60,4118005125,1,2019/7/11 11:05,26.9,55.72,18.7260073
267,217,4,1,2,24,179,60,4118005125,1,2019/7/11 11:35,27.2,56.2,18.7260073
268,217,4,1,2,24,179,60,4118005125,1,2019/7/11 12:05,27.2,59.38,18.7260073
269,217,4,-1,3,24,179,60,4118005125,1,2019/7/11 15:11,25.4,48.73,18.7260073
270,217,4,1,3,24,179,60,4118005125,1,2019/7/11 16:11,26.3,57.74,18.7260073
271,217,4,1,2,24,179,60,4118005125,1,2019/7/11 16:41,26.7,57.56,18.7260073
272,217,4,1,2,24,179,60,4118005125,1,2019/7/11 17:12,26.9,57.47,18.7260073
273,217,4,1,2,24,179,60,4118005125,1,2019/7/11 17:31,27.1,57.25,18.7260073
274,202,1,1,3,24,179,60,4118005125,1,2019/7/15 9:36,25.9,55.2,18.7260073
275,202,1,-1,3,24,179,60,4118005125,1,2019/7/15 10:07,25.4,54.18,18.7260073
276,202,1,1,3,24,179,60,4118005125,1,2019/7/15 10:37,25.2,53.63,18.7260073
277,224,3,1,2,24,179,60,4118005125,1,2019/7/17 17:00,25.6,59.25,18.7260073
278,202,1,1,2,24,179,60,4118005125,1,2019/7/15 15:29,25.6,57.91,18.7260073
279,217,1,1,2,24,179,60,4118005125,1,2019/7/18 9:33,26.5,62.42,18.7260073
280,202,4,1,3,24,179,60,4118005125,1,2019/7/22 15:32,25.4,61.32,18.7260073
281,202,4,1,2,24,179,60,4118005125,1,2019/7/22 16:33,25.5,61.81,18.7260073
282,202,4,1,3,24,179,60,4118005125,1,2019/7/22 17:03,25.5,61.15,18.7260073
283,202,4,1,2,24,179,60,4118005125,1,2019/7/22 17:39,25.5,63.03,18.7260073
284,202,4,1,2,24,179,60,4118005125,1,2019/7/22 18:09,25.7,61.33,18.7260073
285,224,1,1,3,24,179,60,4118005125,1,2019/7/23 9:33,,,18.7260073
286,224,1,1,3,24,179,60,4118005125,1,2019/7/23 10:07,,,18.7260073
287,224,1,1,3,24,179,60,4118005125,1,2019/7/23 11:08,,,18.7260073
